index_no,model,simulation,scenario,run,step,time,agent_name,payoff,my_play,other_play
171,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_10,5,D,C
172,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_11,5,D,C
173,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_12,5,D,C
174,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_13,1,D,D
175,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_14,1,D,D
176,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_15,1,D,D
177,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_16,5,D,C
178,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_17,1,D,D
179,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_18,1,D,D
180,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_19,1,D,D
181,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_0,5,D,C
182,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_1,1,D,D
183,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_2,5,D,C
184,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_3,5,D,C
185,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_4,5,D,C
186,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_5,5,D,C
187,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_6,1,D,D
188,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_7,5,D,C
189,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_8,5,D,C
190,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_9,1,D,D
191,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_10,1,D,D
192,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_11,5,D,C
193,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_12,5,D,C
194,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_13,1,D,D
195,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_14,5,D,C
196,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_15,5,D,C
197,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_16,5,D,C
198,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_17,5,D,C
199,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_18,5,D,C
200,ipd,ipd,Scenario1,0,9,2020-06-17T18:43,BPl_19,5,D,C
201,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_0,1,D,D
202,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_1,1,D,D
203,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_2,1,D,D
204,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_3,5,D,C
205,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_4,1,D,D
206,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_5,5,D,C
207,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_6,1,D,D
208,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_7,5,D,C
209,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_8,5,D,C
210,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_9,5,D,C
211,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_10,1,D,D
212,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_11,1,D,D
213,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_12,5,D,C
214,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_13,1,D,D
215,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_14,5,D,C
216,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_15,5,D,C
217,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_16,1,D,D
218,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_17,1,D,D
219,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_18,1,D,D
220,ipd,ipd,Scenario1,0,10,2020-06-17T18:43,BPl_19,1,D,D
221,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_0,1,D,D
222,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_1,1,D,D
223,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_2,1,D,D
224,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_3,5,D,C
225,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_4,5,D,C
226,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_5,1,D,D
227,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_6,1,D,D
228,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_7,1,D,D
229,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_8,5,D,C
230,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_9,5,D,C
231,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_10,5,D,C
232,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_11,1,D,D
233,ipd,ipd,Scenario1,0,11,2020-06-17T18:43,BPl_12,5,D,C
