index_no,agent_happiness,agent_name,heat_rate,model,run,scenario,simulation,step,time
204,2,Funny_Bug_3,0.8590859604036446,dumb_model,4,Scenario1,dumb_simulation,0,2019-09-30T19:36
205,4,Funny_Bug_4,1.1022236580438658,dumb_model,4,Scenario1,dumb_simulation,0,2019-09-30T19:36
206,6,Funny_Bug_0,1.369945454761616,dumb_model,4,Scenario1,dumb_simulation,1,2019-09-30T19:36
207,4,Funny_Bug_1,0.7899385433388226,dumb_model,4,Scenario1,dumb_simulation,1,2019-09-30T19:36
208,4,Funny_Bug_2,1.1004172189501702,dumb_model,4,Scenario1,dumb_simulation,1,2019-09-30T19:36
209,2,Funny_Bug_3,0.8590859604036446,dumb_model,4,Scenario1,dumb_simulation,1,2019-09-30T19:36
210,4,Funny_Bug_4,1.1022236580438658,dumb_model,4,Scenario1,dumb_simulation,1,2019-09-30T19:36
211,6,Funny_Bug_0,1.369945454761616,dumb_model,4,Scenario1,dumb_simulation,2,2019-09-30T19:36
212,4,Funny_Bug_1,0.7899385433388226,dumb_model,4,Scenario1,dumb_simulation,2,2019-09-30T19:36
213,4,Funny_Bug_2,1.1004172189501702,dumb_model,4,Scenario1,dumb_simulation,2,2019-09-30T19:36
214,2,Funny_Bug_3,0.8590859604036446,dumb_model,4,Scenario1,dumb_simulation,2,2019-09-30T19:36
215,4,Funny_Bug_4,1.1022236580438658,dumb_model,4,Scenario1,dumb_simulation,2,2019-09-30T19:36
216,6,Funny_Bug_0,1.369945454761616,dumb_model,4,Scenario1,dumb_simulation,3,2019-09-30T19:36
217,4,Funny_Bug_1,0.7899385433388226,dumb_model,4,Scenario1,dumb_simulation,3,2019-09-30T19:36
218,4,Funny_Bug_2,1.1004172189501702,dumb_model,4,Scenario1,dumb_simulation,3,2019-09-30T19:36
219,2,Funny_Bug_3,0.8590859604036446,dumb_model,4,Scenario1,dumb_simulation,3,2019-09-30T19:36
220,4,Funny_Bug_4,1.1022236580438658,dumb_model,4,Scenario1,dumb_simulation,3,2019-09-30T19:36
221,6,Funny_Bug_0,1.369945454761616,dumb_model,4,Scenario1,dumb_simulation,4,2019-09-30T19:36
222,4,Funny_Bug_1,0.7899385433388226,dumb_model,4,Scenario1,dumb_simulation,4,2019-09-30T19:36
223,4,Funny_Bug_2,1.1004172189501702,dumb_model,4,Scenario1,dumb_simulation,4,2019-09-30T19:36
224,2,Funny_Bug_3,0.8590859604036446,dumb_model,4,Scenario1,dumb_simulation,4,2019-09-30T19:36
225,4,Funny_Bug_4,1.1022236580438658,dumb_model,4,Scenario1,dumb_simulation,4,2019-09-30T19:36
226,6,Funny_Bug_0,1.369945454761616,dumb_model,4,Scenario1,dumb_simulation,5,2019-09-30T19:36
227,4,Funny_Bug_1,0.7899385433388226,dumb_model,4,Scenario1,dumb_simulation,5,2019-09-30T19:36
228,4,Funny_Bug_2,1.1004172189501702,dumb_model,4,Scenario1,dumb_simulation,5,2019-09-30T19:36
229,2,Funny_Bug_3,0.8590859604036446,dumb_model,4,Scenario1,dumb_simulation,5,2019-09-30T19:36
230,4,Funny_Bug_4,1.1022236580438658,dumb_model,4,Scenario1,dumb_simulation,5,2019-09-30T19:36
231,6,Funny_Bug_0,1.369945454761616,dumb_model,4,Scenario1,dumb_simulation,6,2019-09-30T19:36
232,4,Funny_Bug_1,0.7899385433388226,dumb_model,4,Scenario1,dumb_simulation,6,2019-09-30T19:36
233,4,Funny_Bug_2,1.1004172189501702,dumb_model,4,Scenario1,dumb_simulation,6,2019-09-30T19:36
234,2,Funny_Bug_3,0.8590859604036446,dumb_model,4,Scenario1,dumb_simulation,6,2019-09-30T19:36
235,4,Funny_Bug_4,1.1022236580438658,dumb_model,4,Scenario1,dumb_simulation,6,2019-09-30T19:36
236,6,Funny_Bug_0,1.369945454761616,dumb_model,4,Scenario1,dumb_simulation,7,2019-09-30T19:36
237,4,Funny_Bug_1,0.7899385433388226,dumb_model,4,Scenario1,dumb_simulation,7,2019-09-30T19:36
238,4,Funny_Bug_2,1.1004172189501702,dumb_model,4,Scenario1,dumb_simulation,7,2019-09-30T19:36
